Page total likes,Type,Category,Post Month,Post Weekday,Post Hour,Paid,Post Total Reach,Post Total Impressions,Comments,Likes,Shares,
139441,Photo,Product,12,4,3,0,2752,5091,4,79,17,
139441,Status,Product,12,3,10,0,10460,19057,5,130,29,
139441,Photo,Inspiration,12,3,3,0,2413,4373,0,66,14,
139441,Photo,Product,12,2,10,1,50128,87991,58,1572,147,
139441,Photo,Product,12,2,3,0,7244,13594,19,325,49,
139441,Status,Product,12,1,9,0,10472,20849,1,152,33,
139441,Photo,Inspiration,12,1,3,1,11692,19479,3,249,27,
139441,Photo,Inspiration,12,7,9,1,13720,24137,0,325,14,
139441,Status,Product,12,7,3,0,11844,22538,0,161,31,
139441,Photo,Inspiration,12,6,10,0,4694,8668,3,113,26,
139441,Status,Product,12,5,10,0,21744,42334,0,233,19,
