Page total likes;Type;Category;Post Month;Post Weekday;Post Hour;Paid;Post Total Reach;Post Total Impressions;Comments;Likes;Shares
139441;Photo;Product;12;4;3;0;2752;5091;4;79;17
139441;Status;Product;12;3;10;0;10460;19057;5;130;29
139441;Photo;Inspiration;12;3;3;0;2413;4373;0;66;14
139441;Photo;Product;12;2;10;1;50128;87991;58;1572;147
139441;Photo;Product;12;2;3;0;7244;13594;19;325;49
139441;Status;Product;12;1;9;0;10472;20849;1;152;33
139441;Photo;Inspiration;12;1;3;1;11692;19479;3;249;27
139441;Photo;Inspiration;12;7;9;1;13720;24137;0;325;14
139441;Status;Product;12;7;3;0;11844;22538;0;161;31
139441;Photo;Inspiration;12;6;10;0;4694;8668;3;113;26
139441;Status;Product;12;5;10;0;21744;42334;0;233;19
139441;Photo;Product;12;5;10;0;3112;5590;0;88;18
139441;Photo;Product;12;5;10;0;2847;5133;0;90;14
139441;Photo;Product;12;5;3;0;2549;4896;5;137;10
138414;Photo;Product;12;4;5;1;22784;39941;2;577;20
138414;Status;Product;12;3;10;0;10060;19680;4;86;18
138414;Photo;Inspiration;12;3;3;0;1722;2981;2;40;12
138414;Photo;Action;12;2;12;1;53264;111785;15;678;20
138414;Status;Inspiration;12;2;3;0;3930;7509;4;54;17
138414;Photo;Inspiration;12;1;11;0;1591;2825;0;34;8
138414;Photo;Product;12;1;3;0;2848;5066;3;66;12
138414;Photo;Action;12;7;10;0;1384;2467;0;0;0
138414;Link;Action;12;7;10;0;3454;6853;0;16;2
138414;Photo;Inspiration;12;7;3;0;2723;4888;0;72;24
138414;Status;Product;12;6;10;0;8488;15294;3;99;19
138458;Status;Product;12;6;3;0;8284;15104;0;88;18
138458;Status;Product;12;5;11;0;19552;34143;10;412;72
138458;Photo;Inspiration;12;5;3;0;2478;4306;0;100;17
138895;Photo;Product;12;5;3;0;9560;18264;36;523;63
138895;Video;Action;12;4;11;1;36208;61262;18;143;13
138895;Photo;Product;12;4;2;0;4940;9390;33;107;22
138895;Photo;Product;12;3;10;0;1683;2929;1;27;11
138895;Photo;Inspiration;12;3;3;0;5280;9578;2;155;47
138895;Photo;Inspiration;12;2;9;0;3002;5318;4;98;23
138895;Photo;Action;12;2;3;0;3766;7149;2;56;17
138895;Photo;Product;12;1;11;0;4512;7808;6;172;21
138895;Photo;Inspiration;12;1;3;0;2690;4628;0;96;17
138895;Photo;Action;12;7;10;1;19800;28663;16;76;8
138895;Status;Product;12;7;9;0;17576;33058;11;227;31
138895;Photo;Action;12;7;3;0;3290;6085;1;44;14
138895;Status;Product;12;6;11;0;13280;24198;7;216;39
138895;Link;Action;12;6;3;1;18480;28438;6;187;18
138353;Photo;Action;12;5;10;0;7268;13989;7;26;3
138353;Link;Action;12;5;3;1;2645;4270;7;29;10
138353;Photo;Action;12;4;11;0;4284;8387;0;47;11
138353;Link;Action;12;4;3;1;7968;13023;4;57;10
138353;Status;Action;12;3;11;0;16576;30612;4;174;36
138353;Link;Action;12;3;2;0;1925;3481;6;18;8
138353;Photo;Action;12;2;11;0;3786;7329;0;77;15
138353;Link;Action;12;2;2;0;1536;3094;1;12;1
138353;Photo;Product;11;1;9;0;1728;3155;1;48;9
138329;Photo;Action;11;1;3;1;25248;40125;24;285;28
138329;Photo;Action;11;7;9;0;4894;8899;9;202;31
138329;Photo;Action;11;7;3;0;2935;5439;4;64;19
138329;Photo;Action;11;6;10;0;2425;4462;4;66;13
138329;Video;Action;11;6;2;1;16416;31950;2;65;14
138329;Photo;Action;11;5;11;0;5812;10465;2;164;54
138329;Photo;Action;11;5;3;0;2545;4846;0;40;13
138329;Photo;Action;11;4;10;0;2257;4372;3;76;11
138329;Photo;Action;11;4;3;1;27072;84885;4;139;17
138185;Photo;Action;11;3;11;1;10940;27951;8;101;14
138185;Photo;Action;11;3;2;1;50912;164528;8;144;10
138185;Photo;Action;11;2;10;1;28752;47358;10;179;13
138185;Photo;Action;11;2;3;1;27216;81908;4;219;22
138185;Photo;Action;11;1;10;0;2352;5234;2;60;7
